Designator,Mid X,Mid Y,Rotation,Layer
C1,140.0,-75.8,0.0,bottom
D1,139.3,-90.444315,90.0,top
J1,161.8,-73.37,0.0,top
J2,123.7,-73.2,0.0,top
J3,128.7,-73.4,180.0,top
J4,156.5,-75.9,0.0,top
J5,147.0,-90.05,0.0,top
J6,156.5,-65.9,0.0,top
J7,126.2,-83.9,270.0,top
Q1,132.1,-89.5375,90.0,top
R1,134.275,-92.7,180.0,top
R2,138.2,-79.8,90.0,bottom
R3,161.6,-90.1,0.0,top
R4,161.6,-86.5,0.0,top
R5,143.1,-78.8,180.0,bottom
U1,142.5,-74.64,0.0,top
