Designator,Mid X,Mid Y,Rotation,Layer
C1,161.5,-45.9,270.0,top
C2,153.2,-46.0625,270.0,top
ESP32-C3_SUPERMINI_TH,161.9,-69.91,180.0,top
F1,128.8,-62.8,180.0,top
H1,175.0,-36.8,0.0,top
H2,118.6,-79.1,0.0,top
J1,160.21,-34.4,90.0,top
J2,160.21,-39.2,90.0,top
J3,176.3,-71.2,0.0,top
J4,148.0,-68.5,180.0,top
J5,133.9,-78.5725,0.0,top
J6,176.2,-81.4,0.0,top
J7,176.3,-59.66,0.0,top
PS1,131.8525,-43.5,0.0,top
R3,177.0,-48.1,90.0,top
R4,171.5,-48.2,90.0,top
